Tenure,Bandwidth_GB_Year
6.795512947,904.5361102
1.156680997,800.9827661
15.75414408,2054.706961
17.08722662,2164.579412
1.670971726,271.4934362
7.000993555,1039.357983
13.23677381,1907.242972
4.26425515,979.6127078
8.220686373,1312.874964
3.422086139,508.7637913
19.26726194,2728.767869
10.52199781,1180.588788
13.01149229,1196.388018
16.87922024,1948.694497
10.06019902,1582.295235
13.87001293,1840.014467
15.78214958,2070.376729
2.303331273,882.0985933
17.10995632,1833.0967
12.80615845,1954.080809
20.45390977,2330.319383
2.415991977,594.1054279
6.652298992,713.0633088
8.543717478,945.3802928
5.770390256,870.76398
4.157658837,774.2937069
10.40566091,1506.446527
1.392421597,419.0508708
1.430386349,1259.415493
5.425864884,1745.125956
11.08287797,1795.465729
3.586184954,492.4771472
4.727388465,1013.993166
20.89923386,2680.762173
3.471329958,1081.814362
5.478588204,1209.961168
3.312991809,897.5919144
7.161561527,1340.930156
9.847563364,1113.993679
16.04202196,1530.10769
9.179779682,1310.137419
3.002844144,892.8964931
3.924254455,1125.581944
18.55959629,2016.710031
8.798394712,1412.736809
10.377366,1710.689671
22.25746016,2384.885909
9.427146079,1213.940165
7.760290062,740.010722
11.56938439,897.9716153
3.343811019,1026.387172
7.338869531,1234.244324
5.486534225,727.3731845
1.55278221,452.8721504
12.07970325,1296.674543
13.98666226,1840.628269
9.563362997,1324.330108
6.732948946,958.1397059
15.72071086,1868.864027
7.233605493,676.712908
2.871017037,1086.990308
2.344875382,704.7540406
7.960490246,1416.444695
12.25062113,1095.950634
9.634946079,1083.610268
7.916533093,1570.641337
4.471254161,1007.425553
10.79028074,1323.028419
12.24190682,1808.730555
2.203859443,1120.241472
23.92132231,2676.789803
3.7311787,1268.086909
7.980015371,822.6771666
9.190009376,1577.915603
2.378630018,648.7471776
5.43464555,1648.102673
1.092361222,768.0874545
20.13981517,2426.030626
24.64873861,2660.503932
9.677739656,1129.549713
9.82814183,1771.286466
7.832238337,943.3391244
19.45250317,1907.226083
14.34766616,1885.939118
2.257358355,631.7435653
2.358129018,562.6095219
4.650578623,593.8572264
3.721772616,777.3060718
3.76663012,1393.202392
4.151256695,393.6524652
2.188918771,409.7486664
13.85488928,2138.107161
3.273341151,443.984031
19.75096265,2481.385603
18.38404445,2233.567181
4.672610857,1158.91369
6.796299371,529.40733
12.97632235,1956.7337
20.31163945,2056.386979
6.998814446,1067.373076
14.46288204,1806.135733
11.13472066,1397.701335
2.542296644,808.4305471
17.22596021,1886.531937
22.79214163,2294.781131
3.823689744,826.3438621
10.77094687,2072.564168
13.08671185,1436.793746
14.76468813,1963.332683
9.473091121,1324.164906
5.197446331,704.9375603
6.577552683,888.6517305
3.174571918,377.0810282
17.88002366,1606.489936
13.12190056,1431.409396
23.34617699,2253.85247
6.311709178,1353.29384
12.58298231,1701.457566
7.120096363,1290.737183
9.344886869,1403.270091
22.37815032,2603.903672
4.799514433,1256.287854
10.04672315,980.9935923
8.156552837,1347.869205
7.992791229,1127.267848
